Subject,Start Date,Description,All Day Event
Day 1: Storage Engines (LSM Trees),12/14/2025,"THEORY: Read DDIA Chapter 3. Focus on SSTables, Memtables, and Log-Structured storage. LAB: Write a script in Go/Python that appends Key-Values to a log file (Write Ahead Log) and reads them back.",True
Day 2: Memtable Implementation,12/15/2025,THEORY: Understand Red-Black Trees vs Skip Lists for in-memory storage. LAB: Implement an in-memory Memtable (using a TreeMap) that flushes to disk as an immutable SSTable when full.,True
Day 3: Bloom Filters,12/16/2025,THEORY: Study Probabilistic Data Structures. Understand why they never return False Negatives. LAB: Implement a Bloom Filter from scratch using MurmurHash. Prove false positives exist.,True
Day 4: Compaction Strategies,12/17/2025,THEORY: Compare Size-Tiered vs Leveled Compaction (used in Cassandra/LevelDB). LAB: Write a background script that merges two sorted SSTable files into one new file (Merge Sort).,True
Day 5: Deep Dive - BigTable,12/18/2025,WATCH: MIT 6.824 Lecture 3 (GFS). READ: The Google BigTable Paper. ANALYSIS: Connect the dots between GFS (File System) and BigTable (KV Store).,True
Day 6: Code Review - LevelDB,12/19/2025,TASK: Clone the LevelDB or BadgerDB (Go) repository. Trace the 'Put' and 'Get' functions in the source code to see how they handle concurrency.,True
Day 7: Encoding & Evolution,12/20/2025,THEORY: Read DDIA Chapter 4. Understand Avro/Protobuf vs JSON. LAB: Define an Avro schema. Write code to 'evolve' it (add a field) and verify old code can still read the new data.,True
Day 8: B-Trees (Mutable Indexing),12/21/2025,THEORY: Read DDIA Chapter 3 (B-Trees section). Understand Branching Factors and Depth. LAB: Use 'strace' on a SQLite process to watch 4KB pages being read from disk.,True
Day 9: Page Structures,12/22/2025,THEORY: Deep dive into Slotted Pages and Free Lists. LAB: Implement a basic B-Tree Node class in code that can hold keys and child pointers (do not implement balancing yet).,True
Day 10: Crash Recovery (WAL),12/23/2025,THEORY: Write-Ahead Logs (WAL) and Checkpoints. ARIES algorithm basics. LAB: Implement a 'Recover' function that reads your WAL file and reconstructs the Memtable after a 'crash'.,True
Day 11: Columnar Storage,12/24/2025,THEORY: Read about Parquet and Clickhouse. Understand Column-oriented vs Row-oriented storage. LAB: Convert a CSV file to a Binary Columnar format. Compare file size/compression.,True
Day 12: Deep Dive - Dremel,12/25/2025,READ: Google's Dremel Paper (The basis of BigQuery). Focus on how they handle Nested Data structures efficiently.,True
Day 13: Benchmark Day,12/26/2025,LAB: Write a benchmark suite. Generate 1 million keys. Compare Random Write performance on your LSM Code vs your B-Tree Code. Observe the write amplification.,True
Day 14: Infrastructure as Code (IaC),12/27/2025,THEORY: Declarative vs Imperative infrastructure. LAB: Write a Terraform script to provision a local Docker container or a free-tier AWS EC2 instance.,True
Day 15: Transactions (ACID),12/28/2025,"THEORY: Read DDIA Chapter 7. Define Atomicity, Consistency, Isolation, Durability. LAB: Write a test script that proves MongoDB single-document ACID compliance.",True
Day 16: Isolation Levels,12/29/2025,THEORY: Understand Read Committed vs Repeatable Read. LAB: Open two Postgres terminals. demonstrate 'Dirty Write' and 'Lost Update' phenomena manually.,True
Day 17: Snapshot Isolation (MVCC),12/30/2025,THEORY: Multi-Version Concurrency Control. LAB: Inspect Postgres 'xmin' and 'xmax' system columns during a transaction to see how it stores multiple versions.,True
Day 18: Serializability,12/31/2025,THEORY: 2PL (Two-Phase Locking) vs SSI (Serializable Snapshot Isolation). LAB: Simulate a Deadlock in SQL using explicit locking commands.,True
Day 19: Distributed Transactions,01/01/2026,THEORY: Two-Phase Commit (2PC) vs Sagas. LAB: Implement a basic 2PC Coordinator between two mock microservices (Order Service and Payment Service).,True
Day 20: Deep Dive - Spanner,01/02/2026,"WATCH: MIT 6.824 Lecture 13 (Spanner). READ: Google's Spanner Paper. Understand TrueTime, Atomic Clocks, and External Consistency.",True
Day 21: Batch Processing,01/03/2026,WATCH: MIT 6.824 Lecture 1 (Introduction/MapReduce). THEORY: Read DDIA Chapter 10. LAB: Write a Python script mimicking Map and Reduce phases on a 1GB text file.,True
Day 22: Network Internals,01/04/2026,WATCH: MIT 6.824 Lecture 2 (RPC & Threads). LAB: Wireshark Deep Dive. Capture packets and analyze the TCP Handshake and HTTPS Overhead.,True
Day 23: OS I/O Internals,01/05/2026,THEORY: Standard I/O vs mmap vs O_DIRECT. Page Cache. LAB: Benchmark reading a 1GB file using standard read() vs mmap(). Explain the difference.,True
Day 24: I/O Multiplexing,01/06/2026,THEORY: blocking I/O vs select vs poll vs epoll. LAB: Write a basic TCP server using the 'epoll' system call (or your language's async equivalent).,True
Day 25: HTTP Protocols,01/07/2026,THEORY: HTTP/1.1 vs HTTP/2 (Multiplexing) vs HTTP/3 (QUIC/UDP). LAB: Load test an HTTP/2 server. Observe how multiple requests share one connection.,True
Day 26: Load Balancing,01/08/2026,"THEORY: L4 vs L7 Load Balancing. Algorithms (Round Robin, Least Conn). LAB: Implement 'Weighted Round Robin' algorithm in Python/Go code.",True
Day 27: Deep Dive - NGINX,01/09/2026,READ: NGINX Architecture Overview. Understand the Event Loop model vs Apache's Thread-per-request model.,True
Day 28: Month 1 Review,01/10/2026,REVIEW: Re-read DDIA Ch 3 & 7 highlights. Organize your notes. Ensure your DB engine code compiles and runs.,True
Day 29: Replication,01/11/2026,WATCH: MIT 6.824 Lecture 4 (Primary-Backup). THEORY: Read DDIA Chapter 5. LAB: Setup MySQL Replication. Kill the master. Promote slave manually.,True
Day 30: Replication Lag,01/12/2026,THEORY: Statement-based vs Row-based logs. Problems with Lag. LAB: Measure replication lag time under heavy write load (insert 10k rows).,True
Day 31: Quorums,01/13/2026,THEORY: R + W > N. Consistency levels. LAB: Write a script to simulate Quorum reads/writes with node failures. Calculate probability of stale reads.,True
Day 32: Consistency Models,01/14/2026,THEORY: Linearizability vs Eventual Consistency. LAB: Read Jepsen.io analysis of MongoDB or Cassandra. Understand how they lose data.,True
Day 33: Logical Clocks,01/15/2026,THEORY: Physical vs Logical Clocks. Lamport Clocks vs Vector Clocks. LAB: Implement Vector Clocks code to detect concurrent updates in a distributed list.,True
Day 34: Deep Dive - Dynamo,01/16/2026,"READ: Amazon's Dynamo Paper. Focus on the 'Shopping Cart' use case, Ring Hashing, and Vector Clocks.",True
Day 35: Security Deep Dive,01/17/2026,"THEORY: OWASP Top 10. XSS, CSRF, SQLi. LAB: Perform a SQL Injection on your local DB, then patch it using Prepared Statements.",True
Day 36: Partitioning (Sharding),01/18/2026,THEORY: Read DDIA Chapter 6. Key-Range vs Hash Partitioning. LAB: Manually shard a SQLite DB across 3 files based on UserID.,True
